Election,HINDI,Jurisdiction,AbsenteeApplications,BallotsSent,BallotsReturned,InPersonAbsentee,
2024 General Election,13048,TOWN OF PRIMROSE - DANE COUNTY,88,82,35,0,18-Oct
2024 General Election,13050,TOWN OF ROXBURY - DANE COUNTY,201,201,112,0,18-Oct
2024 General Election,13052,TOWN OF RUTLAND - DANE COUNTY,302,301,155,0,18-Oct
2024 General Election,13054,TOWN OF SPRINGDALE - DANE COUNTY,296,296,151,0,18-Oct
2024 General Election,13056,TOWN OF SPRINGFIELD - DANE COUNTY,373,372,212,0,18-Oct
2024 General Election,13058,TOWN OF SUN PRAIRIE - DANE COUNTY,282,281,149,0,18-Oct
2024 General Election,13060,TOWN OF VERMONT - DANE COUNTY,132,131,58,0,18-Oct
2024 General Election,13062,TOWN OF VERONA - DANE COUNTY,335,313,179,0,18-Oct
2024 General Election,13064,TOWN OF VIENNA - DANE COUNTY,203,201,91,0,18-Oct
2024 General Election,13066,TOWN OF WESTPORT - DANE COUNTY,866,864,494,0,18-Oct
2024 General Election,13070,TOWN OF YORK - DANE COUNTY,52,52,17,0,18-Oct
2024 General Election,13106,VILLAGE OF BELLEVILLE - MULTIPLE COUNTIES,390,385,201,0,18-Oct
2024 General Election,13107,VILLAGE OF BLACK EARTH - DANE COUNTY,127,125,63,0,18-Oct
2024 General Election,13108,VILLAGE OF BLUE MOUNDS - DANE COUNTY,79,79,41,0,18-Oct
2024 General Election,13109,VILLAGE OF BROOKLYN - MULTIPLE COUNTIES,110,110,53,0,18-Oct
2024 General Election,13111,VILLAGE OF CAMBRIDGE - MULTIPLE COUNTIES,207,193,114,0,18-Oct
2024 General Election,13112,VILLAGE OF COTTAGE GROVE - DANE COUNTY,1222,1219,656,0,18-Oct
2024 General Election,13113,VILLAGE OF CROSS PLAINS - DANE COUNTY,503,495,232,0,18-Oct
2024 General Election,13116,VILLAGE OF DANE - DANE COUNTY,105,104,43,0,18-Oct
2024 General Election,13117,VILLAGE OF DEERFIELD - DANE COUNTY,249,249,119,0,18-Oct
2024 General Election,13118,VILLAGE OF DEFOREST - DANE COUNTY,1764,1760,945,0,18-Oct
2024 General Election,13151,VILLAGE OF MAPLE BLUFF - DANE COUNTY,260,258,110,0,18-Oct
2024 General Election,13152,VILLAGE OF MARSHALL - DANE COUNTY,307,306,179,0,18-Oct
2024 General Election,13153,VILLAGE OF MAZOMANIE - DANE COUNTY,183,183,108,0,18-Oct
2024 General Election,13154,VILLAGE OF MCFARLAND - DANE COUNTY,1410,1402,791,0,18-Oct
2024 General Election,13157,VILLAGE OF MOUNT HOREB - DANE COUNTY,953,923,501,0,18-Oct
2024 General Election,13165,VILLAGE OF OREGON - DANE COUNTY,1537,1529,855,0,18-Oct
2024 General Election,13176,VILLAGE OF ROCKDALE - DANE COUNTY,13,13,7,0,18-Oct
2024 General Election,13181,VILLAGE OF SHOREWOOD HILLS - DANE COUNTY,591,588,290,0,18-Oct
2024 General Election,13191,VILLAGE OF WAUNAKEE - DANE COUNTY,2591,2567,1388,0,18-Oct
2024 General Election,13196,VILLAGE OF WINDSOR - DANE COUNTY,1300,1294,764,0,18-Oct
2024 General Election,13225,CITY OF FITCHBURG - DANE COUNTY,5083,5057,2698,0,18-Oct
2024 General Election,13251,CITY OF MADISON - DANE COUNTY,39469,39133,20526,0,18-Oct
2024 General Election,13255,CITY OF MIDDLETON - DANE COUNTY,4589,4569,2625,0,18-Oct
2024 General Election,13258,CITY OF MONONA - DANE COUNTY,1374,1370,778,0,18-Oct
2024 General Election,13281,CITY OF STOUGHTON - DANE COUNTY,2039,2032,1109,0,18-Oct
2024 General Election,13282,CITY OF SUN PRAIRIE - DANE COUNTY,5918,5891,3092,0,18-Oct
2024 General Election,13286,CITY OF VERONA - DANE COUNTY,2337,2320,1281,0,18-Oct
2024 General Election,14002,TOWN OF ASHIPPUN - DODGE COUNTY,193,192,90,0,18-Oct
2024 General Election,14004,TOWN OF BEAVER DAM - DODGE COUNTY,475,475,255,0,18-Oct
2024 General Election,14006,TOWN OF BURNETT - DODGE COUNTY,43,43,15,0,18-Oct
2024 General Election,14008,TOWN OF CALAMUS - DODGE COUNTY,70,70,23,0,18-Oct
2024 General Election,14010,TOWN OF CHESTER - DODGE COUNTY,21,21,10,0,18-Oct
2024 General Election,14012,TOWN OF CLYMAN - DODGE COUNTY,43,43,18,0,18-Oct
2024 General Election,14014,TOWN OF ELBA - DODGE COUNTY,70,69,30,0,18-Oct
2024 General Election,14016,TOWN OF EMMET - DODGE COUNTY,89,87,43,0,18-Oct
2024 General Election,14018,TOWN OF FOX LAKE - DODGE COUNTY,104,104,52,0,18-Oct
2024 General Election,14020,TOWN OF HERMAN - DODGE COUNTY,75,74,44,0,18-Oct
2024 General Election,14022,TOWN OF HUBBARD - DODGE COUNTY,156,156,76,0,18-Oct
2024 General Election,14024,TOWN OF HUSTISFORD - DODGE COUNTY,105,104,42,0,18-Oct
2024 General Election,14026,TOWN OF LEBANON - DODGE COUNTY,70,69,34,0,18-Oct
2024 General Election,14028,TOWN OF LEROY - DODGE COUNTY,49,47,22,0,18-Oct
2024 General Election,14030,TOWN OF LOMIRA - DODGE COUNTY,58,58,22,0,18-Oct
2024 General Election,14032,TOWN OF LOWELL - DODGE COUNTY,77,77,41,0,18-Oct
2024 General Election,14034,TOWN OF OAK GROVE - DODGE COUNTY,76,76,26,0,18-Oct
2024 General Election,14036,TOWN OF PORTLAND - DODGE COUNTY,54,53,25,0,18-Oct
2024 General Election,14038,TOWN OF RUBICON - DODGE COUNTY,204,202,106,0,18-Oct
2024 General Election,14040,TOWN OF SHIELDS - DODGE COUNTY,53,53,30,0,18-Oct
2024 General Election,14042,TOWN OF THERESA - DODGE COUNTY,54,54,30,0,18-Oct
