Election,HINDI,Jurisdiction,AbsenteeApplications,BallotsSent,BallotsReturned,InPersonAbsentee,
2024 General Election,38024,TOWN OF PESHTIGO - MARINETTE COUNTY,389,387,207,0,18-Oct
2024 General Election,38026,TOWN OF PORTERFIELD - MARINETTE COUNTY,222,222,124,0,18-Oct
2024 General Election,38028,TOWN OF POUND - MARINETTE COUNTY,90,90,63,0,18-Oct
2024 General Election,38030,TOWN OF SILVER CLIFF - MARINETTE COUNTY,50,48,31,0,18-Oct
2024 General Election,38032,TOWN OF STEPHENSON - MARINETTE COUNTY,360,355,231,0,18-Oct
2024 General Election,38034,TOWN OF WAGNER - MARINETTE COUNTY,72,72,35,0,18-Oct
2024 General Election,38036,TOWN OF WAUSAUKEE - MARINETTE COUNTY,83,83,54,0,18-Oct
2024 General Election,38111,VILLAGE OF COLEMAN - MARINETTE COUNTY,40,40,18,0,18-Oct
2024 General Election,38121,VILLAGE OF CRIVITZ - MARINETTE COUNTY,57,48,28,0,18-Oct
2024 General Election,38171,VILLAGE OF POUND - MARINETTE COUNTY,17,17,12,0,18-Oct
2024 General Election,38191,VILLAGE OF WAUSAUKEE - MARINETTE COUNTY,34,34,24,0,18-Oct
2024 General Election,38251,CITY OF MARINETTE - MARINETTE COUNTY,916,911,554,0,18-Oct
2024 General Election,38261,CITY OF NIAGARA - MARINETTE COUNTY,130,127,74,0,18-Oct
2024 General Election,38271,CITY OF PESHTIGO - MARINETTE COUNTY,223,200,124,0,18-Oct
2024 General Election,39002,TOWN OF BUFFALO - MARQUETTE COUNTY,79,76,48,0,18-Oct
2024 General Election,39004,TOWN OF CRYSTAL LAKE - MARQUETTE COUNTY,44,42,19,0,18-Oct
2024 General Election,39006,TOWN OF DOUGLAS - MARQUETTE COUNTY,48,47,33,0,18-Oct
2024 General Election,39008,TOWN OF HARRIS - MARQUETTE COUNTY,77,69,51,0,18-Oct
2024 General Election,39010,TOWN OF MECAN - MARQUETTE COUNTY,68,65,37,0,18-Oct
2024 General Election,39012,TOWN OF MONTELLO - MARQUETTE COUNTY,114,114,66,0,18-Oct
2024 General Election,39014,TOWN OF MOUNDVILLE - MARQUETTE COUNTY,36,34,17,0,18-Oct
2024 General Election,39016,TOWN OF NESHKORO - MARQUETTE COUNTY,42,41,18,0,18-Oct
2024 General Election,39018,TOWN OF NEWTON - MARQUETTE COUNTY,23,23,14,0,18-Oct
2024 General Election,39020,TOWN OF OXFORD - MARQUETTE COUNTY,68,67,41,0,18-Oct
2024 General Election,39022,TOWN OF PACKWAUKEE - MARQUETTE COUNTY,120,119,71,0,18-Oct
2024 General Election,39024,TOWN OF SHIELDS - MARQUETTE COUNTY,30,28,18,0,18-Oct
2024 General Election,39026,TOWN OF SPRINGFIELD - MARQUETTE COUNTY,86,85,46,0,18-Oct
2024 General Election,39028,TOWN OF WESTFIELD - MARQUETTE COUNTY,67,67,35,0,18-Oct
2024 General Election,39121,VILLAGE OF ENDEAVOR - MARQUETTE COUNTY,16,13,3,0,18-Oct
2024 General Election,39161,VILLAGE OF NESHKORO - MARQUETTE COUNTY,15,15,6,0,18-Oct
2024 General Election,39165,VILLAGE OF OXFORD - MARQUETTE COUNTY,23,23,10,0,18-Oct
2024 General Election,39191,VILLAGE OF WESTFIELD - MARQUETTE COUNTY,53,53,26,0,18-Oct
2024 General Election,39251,CITY OF MONTELLO - MARQUETTE COUNTY,105,99,60,0,18-Oct
2024 General Election,40001,TOWN OF MENOMINEE - MENOMINEE COUNTY,133,118,46,0,18-Oct
2024 General Election,41106,VILLAGE OF BAYSIDE - MULTIPLE COUNTIES,1087,1080,593,0,18-Oct
2024 General Election,41107,VILLAGE OF BROWN DEER - MILWAUKEE COUNTY,1543,1534,774,0,18-Oct
2024 General Election,41126,VILLAGE OF FOX POINT - MILWAUKEE COUNTY,1322,1312,682,0,18-Oct
2024 General Election,41131,VILLAGE OF GREENDALE - MILWAUKEE COUNTY,1942,1937,946,0,18-Oct
2024 General Election,41136,VILLAGE OF HALES CORNERS - MILWAUKEE COUNTY,1031,1027,528,0,18-Oct
2024 General Election,41176,VILLAGE OF RIVER HILLS - MILWAUKEE COUNTY,274,272,115,0,18-Oct
2024 General Election,41181,VILLAGE OF SHOREWOOD - MILWAUKEE COUNTY,2717,2711,1426,0,18-Oct
2024 General Election,41191,VILLAGE OF WEST MILWAUKEE - MILWAUKEE COUNTY,245,245,106,0,18-Oct
2024 General Election,41192,VILLAGE OF WHITEFISH BAY - MILWAUKEE COUNTY,2639,2622,1287,0,18-Oct
2024 General Election,41211,CITY OF CUDAHY - MILWAUKEE COUNTY,1691,1681,852,0,18-Oct
2024 General Election,41226,CITY OF FRANKLIN - MILWAUKEE COUNTY,5317,5299,2785,0,18-Oct
2024 General Election,41231,CITY OF GLENDALE - MILWAUKEE COUNTY,2502,2493,1427,0,18-Oct
2024 General Election,41236,CITY OF GREENFIELD - MILWAUKEE COUNTY,4465,4452,2451,0,18-Oct
2024 General Election,41251,CITY OF MILWAUKEE - MULTIPLE COUNTIES,43315,43006,19642,0,18-Oct
2024 General Election,41265,CITY OF OAK CREEK - MILWAUKEE COUNTY,4132,4127,2326,0,18-Oct
2024 General Election,41281,CITY OF ST. FRANCIS - MILWAUKEE COUNTY,1181,1173,673,0,18-Oct
2024 General Election,41282,CITY OF SOUTH MILWAUKEE - MILWAUKEE COUNTY,1960,1950,1113,0,18-Oct
2024 General Election,41291,CITY OF WAUWATOSA - MILWAUKEE COUNTY,8550,8517,4083,0,18-Oct
2024 General Election,41292,CITY OF WEST ALLIS - MILWAUKEE COUNTY,6064,6002,2599,0,18-Oct
2024 General Election,42002,TOWN OF ADRIAN - MONROE COUNTY,28,20,5,0,18-Oct
2024 General Election,42004,TOWN OF ANGELO - MONROE COUNTY,92,86,37,0,18-Oct
2024 General Election,42006,TOWN OF BYRON - MONROE COUNTY,65,63,22,0,18-Oct
2024 General Election,42008,TOWN OF CLIFTON - MONROE COUNTY,10,7,0,0,18-Oct
2024 General Election,42010,TOWN OF GLENDALE - MONROE COUNTY,44,43,21,0,18-Oct
2024 General Election,42012,TOWN OF GRANT - MONROE COUNTY,20,20,9,0,18-Oct
2024 General Election,42014,TOWN OF GREENFIELD - MONROE COUNTY,27,25,4,0,18-Oct
2024 General Election,42016,TOWN OF JEFFERSON - MONROE COUNTY,35,34,15,0,18-Oct
2024 General Election,42018,TOWN OF LAFAYETTE - MONROE COUNTY,26,26,11,0,18-Oct
2024 General Election,42020,TOWN OF LA GRANGE - MONROE COUNTY,123,122,68,0,18-Oct
2024 General Election,42022,TOWN OF LEON - MONROE COUNTY,73,73,26,0,18-Oct
2024 General Election,42024,TOWN OF LINCOLN - MONROE COUNTY,41,24,0,0,18-Oct
2024 General Election,42026,TOWN OF LITTLE FALLS - MONROE COUNTY,62,60,23,0,18-Oct
2024 General Election,42028,TOWN OF NEW LYME - MONROE COUNTY,12,9,5,0,18-Oct
2024 General Election,42030,TOWN OF OAKDALE - MONROE COUNTY,28,28,12,0,18-Oct
2024 General Election,42032,TOWN OF PORTLAND - MONROE COUNTY,34,29,16,0,18-Oct
2024 General Election,42034,TOWN OF RIDGEVILLE - MONROE COUNTY,13,12,8,0,18-Oct
2024 General Election,42036,TOWN OF SCOTT - MONROE COUNTY,1,1,0,0,18-Oct
2024 General Election,42038,TOWN OF SHELDON - MONROE COUNTY,14,11,5,0,18-Oct
2024 General Election,42040,TOWN OF SPARTA - MONROE COUNTY,347,345,230,0,18-Oct
2024 General Election,42042,TOWN OF TOMAH - MONROE COUNTY,94,92,40,0,18-Oct
2024 General Election,42044,TOWN OF WELLINGTON - MONROE COUNTY,18,12,0,0,18-Oct
2024 General Election,42046,TOWN OF WELLS - MONROE COUNTY,41,39,23,0,18-Oct
2024 General Election,42048,TOWN OF WILTON - MONROE COUNTY,27,24,18,0,18-Oct
2024 General Election,42111,VILLAGE OF CASHTON - MONROE COUNTY,18,15,1,0,18-Oct
2024 General Election,42141,VILLAGE OF KENDALL - MONROE COUNTY,23,23,11,0,18-Oct
2024 General Election,42161,VILLAGE OF NORWALK - MONROE COUNTY,8,8,7,0,18-Oct
2024 General Election,42165,VILLAGE OF OAKDALE - MONROE COUNTY,16,16,6,0,18-Oct
2024 General Election,42185,VILLAGE OF WARRENS - MONROE COUNTY,20,18,9,0,18-Oct
2024 General Election,42191,VILLAGE OF WILTON - MONROE COUNTY,23,23,12,0,18-Oct
2024 General Election,42192,VILLAGE OF WYEVILLE - MONROE COUNTY,5,5,1,0,18-Oct
2024 General Election,42281,CITY OF SPARTA - MONROE COUNTY,778,777,479,0,18-Oct
2024 General Election,42286,CITY OF TOMAH - MONROE COUNTY,630,625,312,0,18-Oct
2024 General Election,43002,TOWN OF ABRAMS - OCONTO COUNTY,203,179,95,0,18-Oct
2024 General Election,43006,TOWN OF BAGLEY - OCONTO COUNTY,20,20,12,0,18-Oct
2024 General Election,43008,TOWN OF BRAZEAU - OCONTO COUNTY,112,111,69,0,18-Oct
2024 General Election,43010,TOWN OF BREED - OCONTO COUNTY,37,37,12,0,18-Oct
2024 General Election,43012,TOWN OF CHASE - OCONTO COUNTY,380,374,154,0,18-Oct
2024 General Election,43014,TOWN OF DOTY - OCONTO COUNTY,26,26,15,0,18-Oct
2024 General Election,43016,TOWN OF GILLETT - OCONTO COUNTY,47,45,22,0,18-Oct
2024 General Election,43018,TOWN OF HOW - OCONTO COUNTY,25,25,7,0,18-Oct
2024 General Election,43019,TOWN OF LAKEWOOD - OCONTO COUNTY,98,97,62,0,18-Oct
2024 General Election,43020,TOWN OF LENA - OCONTO COUNTY,38,37,11,0,18-Oct
2024 General Election,43022,TOWN OF LITTLE RIVER - OCONTO COUNTY,63,63,31,0,18-Oct
2024 General Election,43024,TOWN OF LITTLE SUAMICO - OCONTO COUNTY,837,832,393,0,18-Oct
2024 General Election,43026,TOWN OF MAPLE VALLEY - OCONTO COUNTY,33,32,15,0,18-Oct
2024 General Election,43028,TOWN OF MORGAN - OCONTO COUNTY,78,78,45,0,18-Oct
2024 General Election,43029,TOWN OF MOUNTAIN - OCONTO COUNTY,112,111,73,0,18-Oct
2024 General Election,43030,TOWN OF OCONTO - OCONTO COUNTY,97,91,63,0,18-Oct
2024 General Election,43032,TOWN OF OCONTO FALLS - OCONTO COUNTY,100,100,64,0,18-Oct
2024 General Election,43034,TOWN OF PENSAUKEE - OCONTO COUNTY,114,114,67,0,18-Oct
2024 General Election,43036,TOWN OF RIVERVIEW - OCONTO COUNTY,87,87,48,0,18-Oct
2024 General Election,43038,TOWN OF SPRUCE - OCONTO COUNTY,66,66,26,0,18-Oct
2024 General Election,43040,TOWN OF STILES - OCONTO COUNTY,91,91,33,0,18-Oct
2024 General Election,43042,TOWN OF TOWNSEND - OCONTO COUNTY,91,89,52,0,18-Oct
2024 General Election,43044,TOWN OF UNDERHILL - OCONTO COUNTY,60,60,30,0,18-Oct
2024 General Election,43146,VILLAGE OF LENA - OCONTO COUNTY,14,10,0,0,18-Oct
2024 General Election,43181,VILLAGE OF SURING - OCONTO COUNTY,16,16,9,0,18-Oct
2024 General Election,43231,CITY OF GILLETT - OCONTO COUNTY,71,71,40,0,18-Oct
2024 General Election,43265,CITY OF OCONTO - OCONTO COUNTY,286,272,161,0,18-Oct
2024 General Election,43266,CITY OF OCONTO FALLS - OCONTO COUNTY,194,192,106,0,18-Oct
2024 General Election,44002,TOWN OF CASSIAN - ONEIDA COUNTY,120,112,0,0,18-Oct
2024 General Election,44004,TOWN OF CRESCENT - ONEIDA COUNTY,220,219,117,0,18-Oct
2024 General Election,44006,TOWN OF ENTERPRISE - ONEIDA COUNTY,29,21,0,0,18-Oct
2024 General Election,44008,TOWN OF HAZELHURST - ONEIDA COUNTY,133,129,84,0,18-Oct
2024 General Election,44010,TOWN OF LAKE TOMAHAWK - ONEIDA COUNTY,113,112,66,0,18-Oct
2024 General Election,44012,TOWN OF LITTLE RICE - ONEIDA COUNTY,29,29,13,0,18-Oct
2024 General Election,44014,TOWN OF LYNNE - ONEIDA COUNTY,14,8,0,0,18-Oct
2024 General Election,44016,TOWN OF MINOCQUA - ONEIDA COUNTY,809,809,450,0,18-Oct
2024 General Election,44018,TOWN OF MONICO - ONEIDA COUNTY,13,13,4,0,18-Oct
2024 General Election,44020,TOWN OF NEWBOLD - ONEIDA COUNTY,399,399,228,0,18-Oct
2024 General Election,44022,TOWN OF NOKOMIS - ONEIDA COUNTY,150,145,77,0,18-Oct
2024 General Election,44024,TOWN OF PELICAN - ONEIDA COUNTY,287,287,152,0,18-Oct
2024 General Election,44026,TOWN OF PIEHL - ONEIDA COUNTY,1,1,0,0,18-Oct
2024 General Election,44028,TOWN OF PINE LAKE - ONEIDA COUNTY,308,306,187,0,18-Oct
2024 General Election,44030,TOWN OF SCHOEPKE - ONEIDA COUNTY,39,37,13,0,18-Oct
2024 General Election,44032,TOWN OF STELLA - ONEIDA COUNTY,50,50,34,0,18-Oct
2024 General Election,44034,TOWN OF SUGAR CAMP - ONEIDA COUNTY,197,188,79,0,18-Oct
2024 General Election,44036,TOWN OF THREE LAKES - ONEIDA COUNTY,389,386,249,0,18-Oct
2024 General Election,44038,TOWN OF WOODBORO - ONEIDA COUNTY,66,66,26,0,18-Oct
2024 General Election,44040,TOWN OF WOODRUFF - ONEIDA COUNTY,273,272,142,0,18-Oct
2024 General Election,44276,CITY OF RHINELANDER - ONEIDA COUNTY,708,704,412,0,18-Oct
2024 General Election,45002,TOWN OF BLACK CREEK - OUTAGAMIE COUNTY,68,68,31,0,18-Oct
2024 General Election,45004,TOWN OF BOVINA - OUTAGAMIE COUNTY,81,77,38,0,18-Oct
2024 General Election,45006,TOWN OF BUCHANAN - OUTAGAMIE COUNTY,718,717,351,0,18-Oct
2024 General Election,45008,TOWN OF CENTER - OUTAGAMIE COUNTY,396,395,199,0,18-Oct
2024 General Election,45010,TOWN OF CICERO - OUTAGAMIE COUNTY,59,58,20,0,18-Oct
2024 General Election,45012,TOWN OF DALE - OUTAGAMIE COUNTY,240,239,92,0,18-Oct
2024 General Election,45014,TOWN OF DEER CREEK - OUTAGAMIE COUNTY,18,18,5,0,18-Oct
2024 General Election,45016,TOWN OF ELLINGTON - OUTAGAMIE COUNTY,291,289,115,0,18-Oct
2024 General Election,45018,TOWN OF FREEDOM - OUTAGAMIE COUNTY,721,718,334,0,18-Oct
2024 General Election,45020,TOWN OF GRAND CHUTE - OUTAGAMIE COUNTY,3204,3203,1801,0,18-Oct
2024 General Election,45024,TOWN OF HORTONIA - OUTAGAMIE COUNTY,73,72,21,0,18-Oct
2024 General Election,45026,TOWN OF KAUKAUNA - OUTAGAMIE COUNTY,120,108,31,0,18-Oct
2024 General Election,45028,TOWN OF LIBERTY - OUTAGAMIE COUNTY,62,62,24,0,18-Oct
2024 General Election,45030,TOWN OF MAINE - OUTAGAMIE COUNTY,22,22,9,0,18-Oct
2024 General Election,45032,TOWN OF MAPLE CREEK - OUTAGAMIE COUNTY,15,15,5,0,18-Oct
2024 General Election,45034,TOWN OF ONEIDA - OUTAGAMIE COUNTY,314,314,143,0,18-Oct
2024 General Election,45036,TOWN OF OSBORN - OUTAGAMIE COUNTY,85,85,46,0,18-Oct
2024 General Election,45038,TOWN OF SEYMOUR - OUTAGAMIE COUNTY,98,98,38,0,18-Oct
2024 General Election,45040,TOWN OF VANDENBROEK - OUTAGAMIE COUNTY,158,158,60,0,18-Oct
2024 General Election,45106,VILLAGE OF BEAR CREEK - OUTAGAMIE COUNTY,5,5,0,0,18-Oct
2024 General Election,45107,VILLAGE OF BLACK CREEK - OUTAGAMIE COUNTY,74,74,23,0,18-Oct
2024 General Election,45111,VILLAGE OF COMBINED LOCKS - OUTAGAMIE COUNTY,462,462,250,0,18-Oct
2024 General Election,45122,VILLAGE OF GREENVILLE - OUTAGAMIE COUNTY,1469,1460,746,0,18-Oct
2024 General Election,45136,VILLAGE OF HORTONVILLE - OUTAGAMIE COUNTY,199,198,96,0,18-Oct
2024 General Election,45141,VILLAGE OF KIMBERLY - OUTAGAMIE COUNTY,829,817,426,0,18-Oct
2024 General Election,45146,VILLAGE OF LITTLE CHUTE - OUTAGAMIE COUNTY,1205,1198,582,0,18-Oct
2024 General Election,45155,VILLAGE OF NICHOLS - OUTAGAMIE COUNTY,16,16,5,0,18-Oct
2024 General Election,45181,VILLAGE OF SHIOCTON - OUTAGAMIE COUNTY,22,22,16,0,18-Oct
2024 General Election,45201,CITY OF APPLETON - MULTIPLE COUNTIES,8707,8678,4584,0,18-Oct
2024 General Election,45241,CITY OF KAUKAUNA - MULTIPLE COUNTIES,1841,1834,923,0,18-Oct
2024 General Election,45281,CITY OF SEYMOUR - OUTAGAMIE COUNTY,222,222,101,0,18-Oct
2024 General Election,46002,TOWN OF BELGIUM - OZAUKEE COUNTY,164,163,88,0,18-Oct
2024 General Election,46004,TOWN OF CEDARBURG - OZAUKEE COUNTY,823,819,388,0,18-Oct
2024 General Election,46006,TOWN OF FREDONIA - OZAUKEE COUNTY,139,139,66,0,18-Oct
2024 General Election,46008,TOWN OF GRAFTON - OZAUKEE COUNTY,515,513,248,0,18-Oct
2024 General Election,46012,TOWN OF PORT WASHINGTON - OZAUKEE COUNTY,159,158,70,0,18-Oct
2024 General Election,46014,TOWN OF SAUKVILLE - OZAUKEE COUNTY,154,154,70,0,18-Oct
2024 General Election,46106,VILLAGE OF BELGIUM - OZAUKEE COUNTY,218,213,111,0,18-Oct
2024 General Election,46126,VILLAGE OF FREDONIA - OZAUKEE COUNTY,136,136,63,0,18-Oct
2024 General Election,46131,VILLAGE OF GRAFTON - OZAUKEE COUNTY,1572,1565,759,0,18-Oct
2024 General Election,46181,VILLAGE OF SAUKVILLE - OZAUKEE COUNTY,342,336,166,0,18-Oct
2024 General Election,46186,VILLAGE OF THIENSVILLE - OZAUKEE COUNTY,401,393,203,0,18-Oct
2024 General Election,46211,CITY OF CEDARBURG - OZAUKEE COUNTY,1805,1799,991,0,18-Oct
2024 General Election,46255,CITY OF MEQUON - OZAUKEE COUNTY,4415,4375,2364,0,18-Oct
2024 General Election,46271,CITY OF PORT WASHINGTON - OZAUKEE COUNTY,1419,1407,754,0,18-Oct
2024 General Election,47002,TOWN OF ALBANY - PEPIN COUNTY,18,17,0,0,18-Oct
2024 General Election,47004,TOWN OF DURAND - PEPIN COUNTY,35,33,10,0,18-Oct
2024 General Election,47006,TOWN OF FRANKFORT - PEPIN COUNTY,16,16,4,0,18-Oct
2024 General Election,47008,TOWN OF LIMA - PEPIN COUNTY,39,39,28,0,18-Oct
2024 General Election,47010,TOWN OF PEPIN - PEPIN COUNTY,74,74,39,0,18-Oct
2024 General Election,47012,TOWN OF STOCKHOLM - PEPIN COUNTY,22,22,8,0,18-Oct
2024 General Election,47014,TOWN OF WATERVILLE - PEPIN COUNTY,28,26,15,0,18-Oct
2024 General Election,47016,TOWN OF WAUBEEK - PEPIN COUNTY,29,29,7,0,18-Oct
2024 General Election,47171,VILLAGE OF PEPIN - PEPIN COUNTY,62,62,35,0,18-Oct
2024 General Election,47181,VILLAGE OF STOCKHOLM - PEPIN COUNTY,12,12,1,0,18-Oct
2024 General Election,47216,CITY OF DURAND - PEPIN COUNTY,100,99,51,0,18-Oct
2024 General Election,48002,TOWN OF CLIFTON - PIERCE COUNTY,353,350,199,0,18-Oct
2024 General Election,48004,TOWN OF DIAMOND BLUFF - PIERCE COUNTY,40,39,18,0,18-Oct
2024 General Election,48006,TOWN OF ELLSWORTH - PIERCE COUNTY,99,99,44,0,18-Oct
2024 General Election,48008,TOWN OF EL PASO - PIERCE COUNTY,31,31,15,0,18-Oct
2024 General Election,48010,TOWN OF GILMAN - PIERCE COUNTY,80,80,39,0,18-Oct
2024 General Election,48012,TOWN OF HARTLAND - PIERCE COUNTY,33,33,8,0,18-Oct
2024 General Election,48014,TOWN OF ISABELLE - PIERCE COUNTY,18,18,6,0,18-Oct
2024 General Election,48016,TOWN OF MAIDEN ROCK - PIERCE COUNTY,48,48,29,0,18-Oct
2024 General Election,48018,TOWN OF MARTELL - PIERCE COUNTY,102,100,38,0,18-Oct
2024 General Election,48020,TOWN OF OAK GROVE - PIERCE COUNTY,278,272,103,0,18-Oct
2024 General Election,48022,TOWN OF RIVER FALLS - PIERCE COUNTY,280,280,170,0,18-Oct
2024 General Election,48024,TOWN OF ROCK ELM - PIERCE COUNTY,10,10,4,0,18-Oct
2024 General Election,48026,TOWN OF SALEM - PIERCE COUNTY,28,28,14,0,18-Oct
2024 General Election,48028,TOWN OF SPRING LAKE - PIERCE COUNTY,39,39,15,0,18-Oct
2024 General Election,48030,TOWN OF TRENTON - PIERCE COUNTY,140,139,72,0,18-Oct
2024 General Election,48032,TOWN OF TRIMBELLE - PIERCE COUNTY,132,131,65,0,18-Oct
2024 General Election,48034,TOWN OF UNION - PIERCE COUNTY,17,17,0,0,18-Oct
2024 General Election,48106,VILLAGE OF BAY CITY - PIERCE COUNTY,21,21,10,0,18-Oct
2024 General Election,48121,VILLAGE OF ELLSWORTH - PIERCE COUNTY,271,268,135,0,18-Oct
2024 General Election,48122,VILLAGE OF ELMWOOD - PIERCE COUNTY,46,46,14,0,18-Oct
2024 General Election,48151,VILLAGE OF MAIDEN ROCK - PIERCE COUNTY,1,1,1,0,18-Oct
2024 General Election,48171,VILLAGE OF PLUM CITY - PIERCE COUNTY,48,47,29,0,18-Oct
2024 General Election,48181,VILLAGE OF SPRING VALLEY - MULTIPLE COUNTIES,99,99,50,0,18-Oct
2024 General Election,48271,CITY OF PRESCOTT - PIERCE COUNTY,284,279,138,0,18-Oct
2024 General Election,48276,CITY OF RIVER FALLS - MULTIPLE COUNTIES,1528,1508,904,0,18-Oct
2024 General Election,49002,TOWN OF ALDEN - POLK COUNTY,373,369,170,0,18-Oct
2024 General Election,49004,TOWN OF APPLE RIVER - POLK COUNTY,81,78,31,0,18-Oct
2024 General Election,49006,TOWN OF BALSAM LAKE - POLK COUNTY,97,96,48,0,18-Oct
2024 General Election,49008,TOWN OF BEAVER - POLK COUNTY,60,59,39,0,18-Oct
2024 General Election,49010,TOWN OF BLACK BROOK - POLK COUNTY,117,117,63,0,18-Oct
2024 General Election,49012,TOWN OF BONE LAKE - POLK COUNTY,39,39,18,0,18-Oct
2024 General Election,49014,TOWN OF CLAM FALLS - POLK COUNTY,32,32,6,0,18-Oct
2024 General Election,49016,TOWN OF CLAYTON - POLK COUNTY,66,64,39,0,18-Oct
2024 General Election,49018,TOWN OF CLEAR LAKE - POLK COUNTY,30,30,15,0,18-Oct
2024 General Election,49020,TOWN OF EUREKA - POLK COUNTY,101,95,45,0,18-Oct
2024 General Election,49022,TOWN OF FARMINGTON - POLK COUNTY,107,107,56,0,18-Oct
2024 General Election,49024,TOWN OF GARFIELD - POLK COUNTY,163,162,69,0,18-Oct
2024 General Election,49026,TOWN OF GEORGETOWN - POLK COUNTY,87,84,42,0,18-Oct
2024 General Election,49028,TOWN OF JOHNSTOWN - POLK COUNTY,24,24,10,0,18-Oct
2024 General Election,49030,TOWN OF LAKETOWN - POLK COUNTY,75,73,40,0,18-Oct
2024 General Election,49032,TOWN OF LINCOLN - POLK COUNTY,220,219,127,0,18-Oct
2024 General Election,49034,TOWN OF LORAIN - POLK COUNTY,18,18,9,0,18-Oct
2024 General Election,49036,TOWN OF LUCK - POLK COUNTY,63,63,35,0,18-Oct
2024 General Election,49038,TOWN OF MCKINLEY - POLK COUNTY,31,30,3,0,18-Oct
2024 General Election,49040,TOWN OF MILLTOWN - POLK COUNTY,94,93,35,0,18-Oct
2024 General Election,49042,TOWN OF OSCEOLA - POLK COUNTY,227,226,94,0,18-Oct
2024 General Election,49044,TOWN OF ST. CROIX FALLS - POLK COUNTY,63,63,33,0,18-Oct
2024 General Election,49046,TOWN OF STERLING - POLK COUNTY,43,42,21,0,18-Oct
2024 General Election,49048,TOWN OF WEST SWEDEN - POLK COUNTY,51,50,28,0,18-Oct
2024 General Election,49106,VILLAGE OF BALSAM LAKE - POLK COUNTY,50,49,22,0,18-Oct
2024 General Election,49111,VILLAGE OF CENTURIA - POLK COUNTY,32,32,16,0,18-Oct
2024 General Election,49112,VILLAGE OF CLAYTON - POLK COUNTY,7,7,1,0,18-Oct
2024 General Election,49113,VILLAGE OF CLEAR LAKE - POLK COUNTY,48,47,28,0,18-Oct
2024 General Election,49116,VILLAGE OF DRESSER - POLK COUNTY,46,46,32,0,18-Oct
2024 General Election,49126,VILLAGE OF FREDERIC - POLK COUNTY,64,47,28,0,18-Oct
2024 General Election,49146,VILLAGE OF LUCK - POLK COUNTY,53,52,36,0,18-Oct
2024 General Election,49151,VILLAGE OF MILLTOWN - POLK COUNTY,49,46,19,0,18-Oct
2024 General Election,49165,VILLAGE OF OSCEOLA - POLK COUNTY,277,277,171,0,18-Oct
2024 General Election,49201,CITY OF AMERY - POLK COUNTY,271,268,143,0,18-Oct
2024 General Election,49281,CITY OF ST. CROIX FALLS - POLK COUNTY,220,217,131,0,18-Oct
2024 General Election,50002,TOWN OF ALBAN - PORTAGE COUNTY,55,55,32,0,18-Oct
2024 General Election,50004,TOWN OF ALMOND - PORTAGE COUNTY,40,40,30,0,18-Oct
2024 General Election,50006,TOWN OF AMHERST - PORTAGE COUNTY,151,149,83,0,18-Oct
2024 General Election,50008,TOWN OF BELMONT - PORTAGE COUNTY,66,66,27,0,18-Oct
2024 General Election,50010,TOWN OF BUENA VISTA - PORTAGE COUNTY,63,62,39,0,18-Oct
2024 General Election,50012,TOWN OF CARSON - PORTAGE COUNTY,138,138,75,0,18-Oct
2024 General Election,50014,TOWN OF DEWEY - PORTAGE COUNTY,128,128,65,0,18-Oct
2024 General Election,50016,TOWN OF EAU PLEINE - PORTAGE COUNTY,63,62,34,0,18-Oct
2024 General Election,50018,TOWN OF GRANT - PORTAGE COUNTY,191,190,77,0,18-Oct
2024 General Election,50020,TOWN OF HULL - PORTAGE COUNTY,620,617,291,0,18-Oct
2024 General Election,50022,TOWN OF LANARK - PORTAGE COUNTY,154,152,70,0,18-Oct
2024 General Election,50024,TOWN OF LINWOOD - PORTAGE COUNTY,117,116,69,0,18-Oct
2024 General Election,50026,TOWN OF NEW HOPE - PORTAGE COUNTY,100,100,51,0,18-Oct
2024 General Election,50028,TOWN OF PINE GROVE - PORTAGE COUNTY,29,29,11,0,18-Oct
2024 General Election,50030,TOWN OF PLOVER - PORTAGE COUNTY,146,146,71,0,18-Oct
2024 General Election,50032,TOWN OF SHARON - PORTAGE COUNTY,197,197,97,0,18-Oct
2024 General Election,50034,TOWN OF STOCKTON - PORTAGE COUNTY,257,257,127,0,18-Oct
2024 General Election,50101,VILLAGE OF ALMOND - PORTAGE COUNTY,21,21,8,0,18-Oct
2024 General Election,50102,VILLAGE OF AMHERST - PORTAGE COUNTY,89,89,38,0,18-Oct
2024 General Election,50103,VILLAGE OF AMHERST JUNCTION - PORTAGE COUNTY,22,22,12,0,18-Oct
2024 General Election,50141,VILLAGE OF JUNCTION CITY - PORTAGE COUNTY,16,16,5,0,18-Oct
2024 General Election,50161,VILLAGE OF NELSONVILLE - PORTAGE COUNTY,10,9,6,0,18-Oct
2024 General Election,50171,VILLAGE OF PARK RIDGE - PORTAGE COUNTY,83,81,52,0,18-Oct
2024 General Election,50173,VILLAGE OF PLOVER - PORTAGE COUNTY,1782,1775,1130,0,18-Oct
2024 General Election,50176,VILLAGE OF ROSHOLT - PORTAGE COUNTY,8,8,4,0,18-Oct
2024 General Election,50191,VILLAGE OF WHITING - PORTAGE COUNTY,216,199,138,0,18-Oct
2024 General Election,50281,CITY OF STEVENS POINT - PORTAGE COUNTY,2659,2638,1357,0,18-Oct
2024 General Election,51002,TOWN OF CATAWBA - PRICE COUNTY,18,18,4,0,18-Oct
