"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2024 General Election","12010","TOWN OF HANEY - CRAWFORD COUNTY","8","7","0","0"
"2024 General Election","12012","TOWN OF MARIETTA - CRAWFORD COUNTY","10","0","0",""
"2024 General Election","12014","TOWN OF PRAIRIE DU CHIEN - CRAWFORD COUNTY","35","0","0",""
"2024 General Election","12016","TOWN OF SCOTT - CRAWFORD COUNTY","24","23","0","0"
"2024 General Election","12018","TOWN OF SENECA - CRAWFORD COUNTY","32","31","0","0"
"2024 General Election","12020","TOWN OF UTICA - CRAWFORD COUNTY","16","0","0",""
"2024 General Election","12022","TOWN OF WAUZEKA - CRAWFORD COUNTY","11","11","0","0"
"2024 General Election","12106","VILLAGE OF BELL CENTER - CRAWFORD COUNTY","3","1","0","0"
"2024 General Election","12121","VILLAGE OF EASTMAN - CRAWFORD COUNTY","1","1","0","0"
"2024 General Election","12126","VILLAGE OF FERRYVILLE - CRAWFORD COUNTY","10","10","0","0"
"2024 General Election","12131","VILLAGE OF GAYS MILLS - CRAWFORD COUNTY","30","29","0","0"
"2024 General Election","12146","VILLAGE OF LYNXVILLE - CRAWFORD COUNTY","2","2","0","0"
"2024 General Election","12181","VILLAGE OF SOLDIERS GROVE - CRAWFORD COUNTY","30","27","2","0"
"2024 General Election","12182","VILLAGE OF STEUBEN - CRAWFORD COUNTY","4","0","0",""
"2024 General Election","12191","VILLAGE OF WAUZEKA - CRAWFORD COUNTY","12","0","0",""
"2024 General Election","12271","CITY OF PRAIRIE DU CHIEN - CRAWFORD COUNTY","315","284","75","0"
"2024 General Election","13002","TOWN OF ALBION - DANE COUNTY","87","84","0","0"
"2024 General Election","13004","TOWN OF BERRY - DANE COUNTY","87","86","1","0"
"2024 General Election","13006","TOWN OF BLACK EARTH - DANE COUNTY","60","60","0","0"
"2024 General Election","13008","TOWN OF BLOOMING GROVE - DANE COUNTY","155","155","1","0"
"2024 General Election","13010","TOWN OF BLUE MOUNDS - DANE COUNTY","75","75","3","0"
"2024 General Election","13012","TOWN OF BRISTOL - DANE COUNTY","464","457","5","0"
"2024 General Election","13014","TOWN OF BURKE - DANE COUNTY","318","318","10","0"
"2024 General Election","13016","TOWN OF CHRISTIANA - DANE COUNTY","55","54","0","0"
"2024 General Election","13018","TOWN OF COTTAGE GROVE - DANE COUNTY","382","377","25","0"
"2024 General Election","13020","TOWN OF CROSS PLAINS - DANE COUNTY","147","147","0","0"
"2024 General Election","13022","TOWN OF DANE - DANE COUNTY","56","56","0","0"
"2024 General Election","13024","TOWN OF DEERFIELD - DANE COUNTY","150","146","0","0"
"2024 General Election","13026","TOWN OF DUNKIRK - DANE COUNTY","133","133","0","0"
"2024 General Election","13028","TOWN OF DUNN - DANE COUNTY","475","474","13","0"
"2024 General Election","13034","TOWN OF MAZOMANIE - DANE COUNTY","75","74","2","0"
"2024 General Election","13036","TOWN OF MEDINA - DANE COUNTY","107","107","1","0"
"2024 General Election","13038","TOWN OF MIDDLETON - DANE COUNTY","1053","1031","49","0"
"2024 General Election","13040","TOWN OF MONTROSE - DANE COUNTY","72","68","0","0"
"2024 General Election","13042","TOWN OF OREGON - DANE COUNTY","422","417","8","0"
"2024 General Election","13044","TOWN OF PERRY - DANE COUNTY","72","72","2","0"
"2024 General Election","13046","TOWN OF PLEASANT SPRINGS - DANE COUNTY","281","280","9","0"
"2024 General Election","13048","TOWN OF PRIMROSE - DANE COUNTY","65","55","0","0"
"2024 General Election","13050","TOWN OF ROXBURY - DANE COUNTY","144","143","1","0"
"2024 General Election","13052","TOWN OF RUTLAND - DANE COUNTY","201","201","8","0"
"2024 General Election","13054","TOWN OF SPRINGDALE - DANE COUNTY","220","216","1","0"
"2024 General Election","13056","TOWN OF SPRINGFIELD - DANE COUNTY","242","242","9","0"
"2024 General Election","13058","TOWN OF SUN PRAIRIE - DANE COUNTY","198","196","6","0"
"2024 General Election","13060","TOWN OF VERMONT - DANE COUNTY","98","97","3","0"
"2024 General Election","13062","TOWN OF VERONA - DANE COUNTY","271","246","20","0"
"2024 General Election","13064","TOWN OF VIENNA - DANE COUNTY","128","128","8","0"
"2024 General Election","13066","TOWN OF WESTPORT - DANE COUNTY","632","629","38","0"
"2024 General Election","13070","TOWN OF YORK - DANE COUNTY","42","41","0","0"
"2024 General Election","13106","VILLAGE OF BELLEVILLE - MULTIPLE COUNTIES","296","287","22","0"
"2024 General Election","13107","VILLAGE OF BLACK EARTH - DANE COUNTY","90","89","2","0"
"2024 General Election","13108","VILLAGE OF BLUE MOUNDS - DANE COUNTY","60","60","2","0"
"2024 General Election","13109","VILLAGE OF BROOKLYN - MULTIPLE COUNTIES","78","77","8","0"
"2024 General Election","13111","VILLAGE OF CAMBRIDGE - MULTIPLE COUNTIES","158","7","0","0"
"2024 General Election","13112","VILLAGE OF COTTAGE GROVE - DANE COUNTY","904","901","32","0"
"2024 General Election","13113","VILLAGE OF CROSS PLAINS - DANE COUNTY","338","329","15","0"
"2024 General Election","13116","VILLAGE OF DANE - DANE COUNTY","74","74","0","0"
"2024 General Election","13117","VILLAGE OF DEERFIELD - DANE COUNTY","176","176","0","0"
"2024 General Election","13118","VILLAGE OF DEFOREST - DANE COUNTY","1258","1232","61","0"
"2024 General Election","13151","VILLAGE OF MAPLE BLUFF - DANE COUNTY","201","200","11","0"
"2024 General Election","13152","VILLAGE OF MARSHALL - DANE COUNTY","232","232","16","0"
"2024 General Election","13153","VILLAGE OF MAZOMANIE - DANE COUNTY","144","144","5","0"
"2024 General Election","13154","VILLAGE OF MCFARLAND - DANE COUNTY","998","970","59","0"
"2024 General Election","13157","VILLAGE OF MOUNT HOREB - DANE COUNTY","686","655","20","0"
"2024 General Election","13165","VILLAGE OF OREGON - DANE COUNTY","1147","1127","24","0"
"2024 General Election","13176","VILLAGE OF ROCKDALE - DANE COUNTY","11","11","0","0"
"2024 General Election","13181","VILLAGE OF SHOREWOOD HILLS - DANE COUNTY","444","438","20","0"
"2024 General Election","13191","VILLAGE OF WAUNAKEE - DANE COUNTY","1865","1718","128","0"
"2024 General Election","13196","VILLAGE OF WINDSOR - DANE COUNTY","947","937","18","0"
"2024 General Election","13225","CITY OF FITCHBURG - DANE COUNTY","3875","3780","146","0"
"2024 General Election","13251","CITY OF MADISON - DANE COUNTY","30762","28871","202","0"
"2024 General Election","13255","CITY OF MIDDLETON - DANE COUNTY","3443","3419","109","0"
"2024 General Election","13258","CITY OF MONONA - DANE COUNTY","1057","1051","24","0"
"2024 General Election","13281","CITY OF STOUGHTON - DANE COUNTY","1566","1562","108","0"
"2024 General Election","13282","CITY OF SUN PRAIRIE - DANE COUNTY","4305","4248","199","0"
"2024 General Election","13286","CITY OF VERONA - DANE COUNTY","1689","1650","102","0"
"2024 General Election","14002","TOWN OF ASHIPPUN - DODGE COUNTY","125","121","0","0"
"2024 General Election","14004","TOWN OF BEAVER DAM - DODGE COUNTY","337","331","36","0"
"2024 General Election","14006","TOWN OF BURNETT - DODGE COUNTY","28","28","0","0"
"2024 General Election","14008","TOWN OF CALAMUS - DODGE COUNTY","41","38","0","0"
"2024 General Election","14010","TOWN OF CHESTER - DODGE COUNTY","12","12","0","0"
"2024 General Election","14012","TOWN OF CLYMAN - DODGE COUNTY","26","26","0","0"
"2024 General Election","14014","TOWN OF ELBA - DODGE COUNTY","50","49","0","0"
"2024 General Election","14016","TOWN OF EMMET - DODGE COUNTY","55","52","1","0"
"2024 General Election","14018","TOWN OF FOX LAKE - DODGE COUNTY","62","62","2","0"
"2024 General Election","14020","TOWN OF HERMAN - DODGE COUNTY","57","55","1","0"
"2024 General Election","14022","TOWN OF HUBBARD - DODGE COUNTY","92","91","0","0"
"2024 General Election","14024","TOWN OF HUSTISFORD - DODGE COUNTY","62","62","0","0"
"2024 General Election","14026","TOWN OF LEBANON - DODGE COUNTY","52","52","0","0"
"2024 General Election","14028","TOWN OF LEROY - DODGE COUNTY","29","27","0","0"
"2024 General Election","14030","TOWN OF LOMIRA - DODGE COUNTY","34","34","1","0"
"2024 General Election","14032","TOWN OF LOWELL - DODGE COUNTY","45","44","0","0"
"2024 General Election","14034","TOWN OF OAK GROVE - DODGE COUNTY","38","36","1","0"
"2024 General Election","14036","TOWN OF PORTLAND - DODGE COUNTY","39","38","0","0"
"2024 General Election","14038","TOWN OF RUBICON - DODGE COUNTY","133","132","7","0"
"2024 General Election","14040","TOWN OF SHIELDS - DODGE COUNTY","33","33","2","0"
"2024 General Election","14042","TOWN OF THERESA - DODGE COUNTY","26","26","0","0"
"2024 General Election","14044","TOWN OF TRENTON - DODGE COUNTY","56","56","0","0"
"2024 General Election","14046","TOWN OF WESTFORD - DODGE COUNTY","87","85","0","0"
"2024 General Election","14106","VILLAGE OF BROWNSVILLE - DODGE COUNTY","24","23","2","0"
"2024 General Election","14111","VILLAGE OF CLYMAN - DODGE COUNTY","5","5","0","0"
"2024 General Election","14136","VILLAGE OF HUSTISFORD - DODGE COUNTY","38","38","11","0"
"2024 General Election","14141","VILLAGE OF IRON RIDGE - DODGE COUNTY","26","26","3","0"
"2024 General Election","14143","VILLAGE OF KEKOSKEE - DODGE COUNTY","27","27","0","0"
"2024 General Election","14146","VILLAGE OF LOMIRA - DODGE COUNTY","74","74","2","0"
"2024 General Election","14147","VILLAGE OF LOWELL - DODGE COUNTY","10","10","0","0"
"2024 General Election","14161","VILLAGE OF NEOSHO - DODGE COUNTY","25","25","1","0"
"2024 General Election","14176","VILLAGE OF RANDOLPH - MULTIPLE COUNTIES","101","57","0","0"
"2024 General Election","14177","VILLAGE OF REESEVILLE - DODGE COUNTY","22","22","0","0"
"2024 General Election","14186","VILLAGE OF THERESA - DODGE COUNTY","61","61","0","0"
"2024 General Election","14206","CITY OF BEAVER DAM - DODGE COUNTY","966","964","35","0"
"2024 General Election","14226","CITY OF FOX LAKE - DODGE COUNTY","61","61","2","0"
"2024 General Election","14236","CITY OF HORICON - DODGE COUNTY","209","202","12","0"
