"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2024 General Election","47171","VILLAGE OF PEPIN - PEPIN COUNTY","51","51","14","0"
"2024 General Election","47181","VILLAGE OF STOCKHOLM - PEPIN COUNTY","6","6","1","0"
"2024 General Election","47216","CITY OF DURAND - PEPIN COUNTY","55","54","14","0"
"2024 General Election","48002","TOWN OF CLIFTON - PIERCE COUNTY","264","261","50","0"
"2024 General Election","48004","TOWN OF DIAMOND BLUFF - PIERCE COUNTY","25","22","3","0"
"2024 General Election","48006","TOWN OF ELLSWORTH - PIERCE COUNTY","57","57","10","0"
"2024 General Election","48008","TOWN OF EL PASO - PIERCE COUNTY","22","20","7","0"
"2024 General Election","48010","TOWN OF GILMAN - PIERCE COUNTY","62","62","16","0"
"2024 General Election","48012","TOWN OF HARTLAND - PIERCE COUNTY","25","25","0","0"
"2024 General Election","48014","TOWN OF ISABELLE - PIERCE COUNTY","11","11","2","0"
"2024 General Election","48016","TOWN OF MAIDEN ROCK - PIERCE COUNTY","38","38","7","0"
"2024 General Election","48018","TOWN OF MARTELL - PIERCE COUNTY","72","71","16","0"
"2024 General Election","48020","TOWN OF OAK GROVE - PIERCE COUNTY","192","184","37","0"
"2024 General Election","48022","TOWN OF RIVER FALLS - PIERCE COUNTY","222","221","30","0"
"2024 General Election","48024","TOWN OF ROCK ELM - PIERCE COUNTY","6","6","0","0"
"2024 General Election","48026","TOWN OF SALEM - PIERCE COUNTY","25","25","4","0"
"2024 General Election","48028","TOWN OF SPRING LAKE - PIERCE COUNTY","26","26","1","0"
"2024 General Election","48030","TOWN OF TRENTON - PIERCE COUNTY","96","96","31","0"
"2024 General Election","48032","TOWN OF TRIMBELLE - PIERCE COUNTY","88","86","27","0"
"2024 General Election","48034","TOWN OF UNION - PIERCE COUNTY","6","6","0","0"
"2024 General Election","48106","VILLAGE OF BAY CITY - PIERCE COUNTY","16","16","2","0"
"2024 General Election","48121","VILLAGE OF ELLSWORTH - PIERCE COUNTY","199","185","48","0"
"2024 General Election","48122","VILLAGE OF ELMWOOD - PIERCE COUNTY","29","28","0","0"
"2024 General Election","48171","VILLAGE OF PLUM CITY - PIERCE COUNTY","26","25","8","0"
"2024 General Election","48181","VILLAGE OF SPRING VALLEY - MULTIPLE COUNTIES","62","62","11","0"
"2024 General Election","48271","CITY OF PRESCOTT - PIERCE COUNTY","196","194","53","0"
"2024 General Election","48276","CITY OF RIVER FALLS - MULTIPLE COUNTIES","1241","1183","281","0"
"2024 General Election","49002","TOWN OF ALDEN - POLK COUNTY","220","213","27","0"
"2024 General Election","49004","TOWN OF APPLE RIVER - POLK COUNTY","52","52","8","0"
"2024 General Election","49006","TOWN OF BALSAM LAKE - POLK COUNTY","72","69","15","0"
"2024 General Election","49008","TOWN OF BEAVER - POLK COUNTY","43","40","6","0"
"2024 General Election","49010","TOWN OF BLACK BROOK - POLK COUNTY","86","86","14","0"
"2024 General Election","49012","TOWN OF BONE LAKE - POLK COUNTY","32","29","6","0"
"2024 General Election","49014","TOWN OF CLAM FALLS - POLK COUNTY","18","15","0","0"
"2024 General Election","49016","TOWN OF CLAYTON - POLK COUNTY","50","48","5","0"
"2024 General Election","49018","TOWN OF CLEAR LAKE - POLK COUNTY","19","17","6","0"
"2024 General Election","49020","TOWN OF EUREKA - POLK COUNTY","68","58","9","0"
"2024 General Election","49022","TOWN OF FARMINGTON - POLK COUNTY","74","73","20","0"
"2024 General Election","49024","TOWN OF GARFIELD - POLK COUNTY","119","114","19","0"
"2024 General Election","49026","TOWN OF GEORGETOWN - POLK COUNTY","55","50","0","0"
"2024 General Election","49028","TOWN OF JOHNSTOWN - POLK COUNTY","8","0","0",""
"2024 General Election","49030","TOWN OF LAKETOWN - POLK COUNTY","58","42","0","0"
"2024 General Election","49032","TOWN OF LINCOLN - POLK COUNTY","170","169","46","0"
"2024 General Election","49034","TOWN OF LORAIN - POLK COUNTY","17","17","0","0"
"2024 General Election","49036","TOWN OF LUCK - POLK COUNTY","40","40","14","0"
"2024 General Election","49038","TOWN OF MCKINLEY - POLK COUNTY","18","18","0","0"
"2024 General Election","49040","TOWN OF MILLTOWN - POLK COUNTY","58","57","0","0"
"2024 General Election","49042","TOWN OF OSCEOLA - POLK COUNTY","147","143","1","0"
"2024 General Election","49044","TOWN OF ST. CROIX FALLS - POLK COUNTY","41","41","8","0"
"2024 General Election","49046","TOWN OF STERLING - POLK COUNTY","30","29","0","0"
"2024 General Election","49048","TOWN OF WEST SWEDEN - POLK COUNTY","40","39","8","0"
"2024 General Election","49106","VILLAGE OF BALSAM LAKE - POLK COUNTY","36","36","15","0"
"2024 General Election","49111","VILLAGE OF CENTURIA - POLK COUNTY","28","27","7","0"
"2024 General Election","49112","VILLAGE OF CLAYTON - POLK COUNTY","6","6","0","0"
"2024 General Election","49113","VILLAGE OF CLEAR LAKE - POLK COUNTY","36","34","8","0"
"2024 General Election","49116","VILLAGE OF DRESSER - POLK COUNTY","39","39","9","0"
"2024 General Election","49126","VILLAGE OF FREDERIC - POLK COUNTY","56","38","9","0"
"2024 General Election","49146","VILLAGE OF LUCK - POLK COUNTY","44","44","22","0"
"2024 General Election","49151","VILLAGE OF MILLTOWN - POLK COUNTY","37","34","6","0"
"2024 General Election","49165","VILLAGE OF OSCEOLA - POLK COUNTY","213","213","52","0"
"2024 General Election","49201","CITY OF AMERY - POLK COUNTY","207","205","73","0"
"2024 General Election","49281","CITY OF ST. CROIX FALLS - POLK COUNTY","156","155","53","0"
"2024 General Election","50002","TOWN OF ALBAN - PORTAGE COUNTY","39","39","4","0"
"2024 General Election","50004","TOWN OF ALMOND - PORTAGE COUNTY","29","29","10","0"
